Price,Mileage,Color,Production Year,Transmission Type,Description
"555,000,000","426,000 km",سفید,1388,دنده ای,تمیز سرحال موتور تازه تعمیر بدون روغن سوزی و را وغن ریزی شاسی جلو سمت شاگرد رنگ شده بقیه کاملا سلامت لاستیک بالای ۹۰درصد ۲۰۵بیمه تا آخر برج ۶معاینه تا آخر برج ۸ماشین بی درد سر وسرحال فقط کافیه دور بزنی عاشق سرعتش میشی موتور تقویت شده خلاصه
"1,730,000,000",صفر کیلومتر,سفید,1405,دنده ای,خودروی سمند سورن xu7pمدل1405 خشک
"640,000,000","400,000 km",سفید,1391,دنده ای,سورن مدل 91 xu7 موتوری کاملا سالم داشبورد سوناتایی دور رنگ شاسی جلو سمت راننده ظربه کوچیک خورده به لبه جدول شاسی عقب و سقف وستون بی رنگ و پلمپ بیمه بدنه داره میتونید همه معایب ظاهریش رو رایگان درست کنید
"2,000,000,000","15,000 km",سفید,1404,دنده ای,
"1,750,000,000",صفر کیلومتر,سفید,1404,دنده ای,
"1,180,000,000","100,000 km",زرد,1402,دنده ای,سمند سورن پلاس EF7  دوگانه سوز  بیمه کامل  مصرفی ها تازه تعویض  انتقال با خط  مورد مذکور داخل خط کارنکرده ، بسیار تمیز و مرتب
"535,000,000","400,000 km",نقره ای,1386,دنده ای,بدون رنگ دوگانه کارخانه با جفت مخزن و صندوق جادار. بیمه یک ماه معاینه فنی تازه .تست مخزن ۶سال معتبر. فنی سالم
"1,700,000,000",صفر کیلومتر,سفید,1404,دنده ای,سمند سورن پلاس xu7p تحویلی بهمن ۱۴۰۴ مدارک و کارت سوخت تکمیل
"1,930,000,000",صفر کیلومتر,سفید,1405,دنده ای,
"678,000,000","400,000 km",سفید,1391,دنده ای,سمند EF7، دوگانه ،مدل 91،بیمه10 ماه،لاستیک جلو نو ،لاستیک عقب %90 کارمندی وبکر ،فنی سالم بدون خرج ،شاسی ها سالم
"925,000,000","210,000 km",سفید,1396,دنده ای,بدون رنگ  تسمه تایم تازه تعویض شده  صفحه کلاج تازه تعویض شده  مصرفی ها انجام شده
"1,980,000,000",صفر کیلومتر,مشکی,1405,دنده ای,صفر  مشکی تحویل اردیبهشت Xu7p با همه آپشنهای فابریک کارخانه نقدی
"1,550,000,000","1,300 km",سفید,1404,دنده ای,سالم کم کارکرد،همیشه در خانه پارک هست.
"1,410,000,000",صفر کیلومتر,سفید,1405,دنده ای,❌️تسهیلات ویژه با حداقل سود بانکی ، بدون نوبت ، فقط با چک صیادی ، امکان خرید برای همه مشاغل❌️ ✅️تحویل خودرو همزمان با پیش پرداخت اول (پرداخت پول پیش در سه مرحله امکان پذیر است) ✅️ثبت درخواست خرید به صورت حضوری و غیر حضوری  ✅️سند ۶ دانگ به نام خریدار ✅️حداقل میزان ممکن سود بانکی ✅️شروع اقساط از ۹۰ روز بعد ✅️کارشناسی از دادگستری ✅️شرایط برای تمامی شهرستان ها ✅شرایط پرداخت منعطف 📍امکان انجام اقساط مطابق با شرایط شما  ️💫جهت مشاوره و راهنمایی دقیق با کارشناسان ما در ارتباط باشید💫
"750,000,000","176,000 km",سرمه ای,1393,دنده ای,فنی سالم بیمه ۱۰ ماه یک لکه رنگ کوچک بابت زیبایی بوده چون از در پارکینگ می‌آمد بیرون گیر کرد و اینکه هفت ساله دست خودمه  تخفیف پای معامله
"1,840,000,000","105,000 km",سفید,1404,دنده ای,بدون ضربه بدون رنگ سالم سالم
"1,800,000,000",صفر کیلومتر,سفید,1405,دنده ای,زیر قیمت سایت گذاشتم، تخفیف نداره
"820,000,000","340,000 km",سفید,1395,دنده ای,ماشین سمند lx مدل 95 همه چیز فابریک درحد نو بدون رنگ....... و چهار حلقه لاستیک نو
"1,220,000,000","130,000 km",سفید,1397,دنده ای,ماشین نوعه نو هست از صفری دست خودم بوده(سند دست اول) ماشین واقعا نو هست،یک نقطه هم روش نیست(از ماشین های صفر الان خیلی بهتره تا یه حدی هم که معامله جوش بخوره با خریدار واقعی راه میام اگه پول لازم نبودم نمیفروختم دلال تماس نگیره
"510,000,000","324,958 km",زرد,1394,دنده ای,ماشین تاکسی سمند درون‌شهری است از لحاظ فنی سالم است دارای بیمه و سهمیه 250لیتربنزین دوگانه شرکتی است
"1,400,000,000","66,000 km",آبی,1401,دنده ای,سورن پلاس EF7 بنزینی کم کارکرد 66000 مدل 1401 بی رنگ کروز کنترل  دریچه برقی کارمندی شیشه دودی آمریکایی مصرفی ها به موقع تعویض شده شامل : روغن ، فیلتر ها ، تسمه تایم ، شمع وایر و .... فروش به دلیل نیاز مالی و چک با ماشین های مدل و قیمت پایین تر هم معاوضه می گردد.
"780,000,000","290,000 km",سفید,1393,دنده ای,دو یا سه لکه کوچیک رنگ شدگی  و دو طرف رکاب. باید تعویض شود روکش کفپوش ولاستیکها. صد درصد. موتور تازه تعمیر اساسی
توافقی,صفر کیلومتر,مشکی,1405,دنده ای,خشک مدارک اماده
"750,000,000","250,000 km",نقره ای,1385,دنده ای,شاسی ها پلمپ لاستیک نو وزاپاس نو تک برگ سیستم صوت بسیار عالی به قیمت توافقی چراغ های عقب‌ هم LX
"2,954,320,000",صفر کیلومتر,سفید,1405,دنده ای,خرید و فروش انواع خودروهای داخلی و وارداتی صفر و کار کرده ✅ خرید و فروش به صورت نقد واقساط ✅  ✅ با اقساط بلند مدت 2 الی 36 ماه ✅  ✅بدون ورودی و کمسیون و حق تحریر و...✅  ✅تحویل خودرو 2ساعته،✅  ✅امکان کارشناسی مشتری قبل از تحویل✅  ✅شرایط بسیار ویژه برای اقساط بدون نیاز به ضامن و چک ضمانت✅  ✅ فقط با چک صیادی فاقد برگشتی✅ ✅ پیش پرداخت65 درصد ترجیحا بعلت پاسخگویی سریع با شماره های همراه تماس حاصل فرمایید❌ بعلت نواسانات قیمت ها حدودی میباشد 🟩 همکاران محترم لطفا در ساعات اداری تماس حاصل فرمایید
"1,580,000,000","9,000 km",سفید,1404,دنده ای,سمند سورن پلاس برقی 1404خشک تخفیف پای معامله
"720,000,000","220,000 km",سفید,1393,دنده ای,سرسیلندر یک ماه هست که عوض شده و نو انداختم تمام قطعا ت هم شرکتی انداختم. لاستیک چینی نو انداختم مارک های فلای تا برج9 بیمه. جلو و عقب پلمپ.
"1,750,000,000",صفر کیلومتر,سفید,1405,دنده ای,ماشین سمند سورن پلاس xu7p  صفر خشک  همراه با کارت طلایی
"1,090,000,000","170,000 km",سفید,1396,دنده ای,بدون رنگ فنی درجه یک هدلایت نور بالا یه جفت و نور پاین یه جفت درجه یک تازه نصب شده تمام لامپ و چراغ های داخل و بیرون دماشین تازه عوض شده  تمام مصرفی ها از جمله شمع و وایر و تسمه تایم و دینام و روغن و هدرولیک و روغن گیربکس و تمام فیلتر ها هرچی بوده تازه عوض کردم کپسول گاز بزرگ روکش صندلی وکفپوش درجه یک داخل ماشین درجه یک و بدون صداماشین خیلی نوعه و اصلا به کار کردش نمیخوره خیلی وقت و هزینه براش خرج کردم  خریدار واقعی (مصرف کننده) زنگ بزنه تخفیف جزعی پای معامله
توافقی,کارکرده,سفید,1395,دنده ای,فروش سیستم ماشین بجز ضبط
"830,000,000","180,000 km",سفید,1396,دنده ای,سمند LX مالتی پلکس مدل ۹۶ بسیار تمیز تمامی مصرفی ها مثل لنت ها بهترین برند باطری ۷۴ آمپر موتور و گیربکس درجه یک (چند روزه واشر تعویض شده) رادیاتور دو لول نو جلوبندی یک ماه پیش کامل تعویض نو تسمه ها و دسته موتور نو شمع سوزنی درجه یک به همراه وایر تقویتی نو کلا ماشین از نظر فنی و ظاهری درجه یک میباشد رنگ دارد کاپوت تعویضی و درب جلو سمت شاگرد رنگ و مقداری از درب عقب رنگ یه پشت چراغی خیلی خیلی جزئی دارد
"850,000,000","240,000 km",سفید,1395,دنده ای,رینگ اپیتیمایی  شاسی ها سالم  رنگ سه تیکه بدون بتونه لاستیک جلو ۸۰ درصد عقب ضعبف بیمه تا برج۹
"650,000,000","310,000 km",سرمه ای,1390,دنده ای,ماشین بسیار تمیز بوده فقط سمت شاگرد و کاپوت رنگ می باشد که به اسم دور رنگ به فروش میرسد . موتور EF7 مولتی پلکس . تعویضی ها به موقع انجام شده دارای رینگ اسپرت . شاسی ها سقف و ستون بدون ضریه و رنگ
توافقی,"300,000 km",مسی,1385,دنده ای,تصادف عقب
"1,810,000,000",صفر کیلومتر,سفید,1405,دنده ای,صفر خشک پلاک نشده آماده انتقال
"1,520,000,000","1,600 km",سفید,1404,دنده ای,کارت طلایی دارد
"500,000,000","200,000 km",سفید,1386,دنده ای,موتور تازه تعمیر گیربکس زانتیا تایرها۸۰درصد تمام رنگ بخاطر زیبایی ماشین بدون یک ریال خرج
"1,570,000,000",صفر کیلومتر,سفید,1405,دنده ای,باکترتطلایی
"680,000,000","350,000 km",سفید,1390,دنده ای,سمند معمولی  مدل 90  موتور تازه تعمیر شده  لاستیک‌ها نو  صفحه دیسک ولنت ها نو  چراغ جلو اسپرت  مانیتور دوربین دنده عقب و ثبت وقایع  دور رنگ
"1,468,000,000","20,000 km",سفید,1403,دنده ای,بی رنگ بی ضربه گارانتی سال دوم گرفتم سرویس ها همه سر وقت در نمایندگی
